     channel          r           z      phi      tilt     length   delta_phi        na         pair  
   MPID1A274   0.977603    0.070709   277.51     90.27   0.141026         1.0     977.1    MPID1A109  
   MPID1A341    0.97807    0.071305    345.1      89.9   0.141069         1.0     975.6    MPID1A049  
   MPID1B011   0.976356   -0.068409     7.59     90.12   0.140632         1.0     978.5    MPID1B199  
   MPID1B049   0.977866   -0.068107    45.11     89.95   0.140973         1.0     986.0    MPID1B244  
   MPID1B109    0.97641   -0.068526   105.01     89.82   0.141401         1.0     985.4    MPID1B011  
   MPID1B139   0.977097   -0.069144   134.99     90.01   0.141779         1.0     974.8    MPID1B341  
   MPID1B199   0.976308   -0.068969   195.03     90.29   0.141141         1.0     984.2    MPID1B139  
   MPID1B244   0.977394   -0.068917   239.85     90.29   0.140606         1.0     977.7    MPID1B274  
   MPID1B274   0.976468   -0.069516   270.12     90.15   0.141368         1.0     976.2    MPID1B109  
   MPID1B341   0.976676   -0.068876    337.6     89.75   0.141402         1.0     975.5    MPID1B049  
  ISLD66M017      2.431         0.0     17.2     270.0        0.8        60.3       nan   ISLD66M042  
  ISLD66M042      2.431         0.0     40.5     270.0        0.8        56.0       nan   ISLD66M072  
  ISLD66M072      2.431         0.0     72.4     270.0        0.8        50.1       nan   ISLD66M252  
  ISLD66M102      2.431         0.0    100.2     270.0        0.8        63.3       nan   ISLD66M132  
  ISLD66M132      2.431         0.0    132.6     270.0        0.8        70.3       nan   ISLD66M312  
  ISLD66M197      2.431         0.0    197.6     270.0        0.8        59.6       nan   ISLD66M017  
  ISLD66M252      2.431         0.0    252.4     270.0        0.8        50.1       nan   ISLD66M102  
  ISLD66M312      2.431         0.0    312.3     270.0        0.8        69.6       nan   ISLD66M197  
  ISLD67A017        2.3       0.714     17.8     292.6       0.68        61.5       nan   ISLD67A052  
  ISLD67A052        2.3       0.714     50.1     292.6       0.68        60.8       nan   ISLD67A072  
  ISLD67A072        2.3       0.714     73.0     292.6       0.68        48.9       nan   ISLD67A252  
  ISLD67A112        2.3       0.714    111.7     292.6       0.68        59.8       nan   ISLD67A132  
  ISLD67A132        2.3       0.714    133.0     292.6       0.68        71.1       nan   ISLD67A312  
  ISLD67A197        2.3       0.714    198.6     292.6       0.68        60.0       nan   ISLD67A017  
  ISLD67A252        2.3       0.714    253.0     292.6       0.68        48.9       nan   ISLD67A112  
  ISLD67A312        2.3       0.714    312.3     292.6       0.68        69.6       nan   ISLD67A197  
  ISLD67B017        2.3      -0.714     18.7    -292.6       0.68        59.7       nan   ISLD67B052  
  ISLD67B052        2.3      -0.741     51.5    -292.6       0.68        60.8       nan   ISLD67B072  
  ISLD67B072        2.3      -0.714     73.0    -292.6       0.68        48.9       nan   ISLD67B252  
  ISLD67B112        2.3      -0.741    111.9    -292.6       0.68        60.0       nan   ISLD67B132  
  ISLD67B132        2.3      -0.714    133.0    -292.6       0.68        71.1       nan   ISLD67B312  
  ISLD67B197        2.3      -0.714    198.6    -292.6       0.68        60.0       nan   ISLD67B017  
  ISLD67B252        2.3      -0.714    253.0    -292.6       0.68        48.9       nan   ISLD67B112  
